ISBN,Call No.,name_author,name_book,ครั้งที่พิมพ์,เมืองที่พิมพ์,สำนักที่พิมพ์,year,จำนวนหน้า,ผู้ร่วมแต่ง(ถ้ามี),หัวเรื่อง,CD,
0-19-423092-9,General 428C475O 2000,Charles Dickens,Oliver Twist,,Spain,Oxford University Press,2000,117,,general,,genaral
973-0-19-479271-4,General 428E734A 2009,E.M. Forster,A Passage to lndia,,Hong kong,Oxford University Press,2009,133,,general,,genaral
978-0-19-479267-7,General 428J33P 1995,Jane Austen,Pride and Prejudice ,,Hong kong,Oxford University Press,1995,118,,general,,genaral
978-0-19-479253-0,General 428J65A 1996,John Escott,American Crime Stories,,China,Oxford University Press,1996,117,,general,,genaral
978-0-19-479263-9,General 428A531T 1989,Amy Tan,The Joy Luck Club,,China,Oxford University Press,1989,118,,general, ,genaral
978-0-521-18160-0,General 428J33F 2010,Jane Rollason,Freddie's War,,Singapore,Oxford University Press,1989,118,,general, ,genaral
978-0-19-479266-0,General 428C475O-1 2008,Charles Dickens,Oliver Twist,,Spain,Oxford University Press,2008,117,,general,,genaral
978-0-19-479264-6,General 428J65M 1991,John Wyndham,Meteor and Other Stories,,China,Oxford University Press,1991,117,,general,,genaral
978-0-19-479267-7,General 428J33P-1 1995,Jane Austen,Pride and Prejudice ,,Hong kong,Oxford University Press,1995,118,,general,2,genaral
978-0-19-479268-4,General 428T454T 1989,Thomas Hardy,Tess of the d'Urbervilles,,China,Oxford University Press,1989,134,,general,,genaral
978-1-4058-8262-0,General 428F998C 2006,Fyodor Dostoevsky,Crime and Punishment,,China,Pearson Education Limited,2006,101,,general,,genaral
978-0-2300-3106-7,General 428J65O 2014,John Steinbeck,Of Mice and Men ,,Thailand,Pearson Education Limited,2014,103,,general,,genaral
978-0-19-479270-7,General 428W836T 2002,Wlikie Collins,The Woman in White,,Hong kong,Oxford University Press,2002,117,,general,,genaral
978-1-4058-8259-0,General 428B596B 1999,Bill gates,Business @ the Speed of Thought,,China,Pearson Education Limited,1999,109,,general,,genaral
978-0-230-03056-5,General 428C475G 2005,Charles Dickens,Great Expectations,,Thailand,Macmillan Heinemann ELT,2005,95,,general,,genaral
978-1-4058-8265-1,General 428M466I 2008,Maya Angelou,I Know Why the Caged Bird Sings,,China,Pearson Education Limited,2008,100,,general,4,genaral
978-1-4058-6531-9,General 428G982M 2008,Gustave Flaubert,Madame Bovary,,China,Pearson Education Limited,2008,100,,general,3,genaral
978-1-4058-8264-4,General 428J27T 2001,James D. Watson,The Doubble Helix,,China,Pearson Education Limited,2001,103,,general,3,genaral
978-1-4058-8269-9,General 428K11T 2008,Kazou Ishiguro,The Remains of the Day,,China,Pearson Education Limited,2008,101,,general,4,genaral
978-1-4058-6527-2,General 428V642L 2008,Victor Hugo,Les Miserables,,China,Pearson Education Limited,2008,98,,general,3,genaral
978-1-4058-8267-5,General 428AM788 2008,Arthur Golden,Memoirs of a Geisha,,China,Pearson Education Limited,2008,98,,general,,genaral
978-0-19-479260-8,General 428D464T 2008,Desmond Bagley,The Enemy,,China,Oxford University Press,2008,117,,general,,genaral
978-0-19-479266-0,General 428C475O-2 2008,Charles Dickens,Oliver Twist,,Spain,Oxford University Press,2008,117,,general,,genaral
978-1-4058-8265-1,General 428M466I-1 2008,Maya Angelou,I Know Why the Caged Bird Sings,,China,Pearson Education Limited,2008,100,,general,,genaral
978-1-4058-8266-8,General 428R628M 2008,Roald Dahl,Man from the South and Other Stories,,China,Pearson Education Limited,2008,100,,general,,genaral
978-1-4058-6525-8,General 428C475O-3 2008,Charles Dickens,Oliver Twist,,China,Pearson Education Limited,2008,114,,general,,genaral
978-1-4058-8264-4,General 428J27T-1 2001,James D. Watson,The Doubble Helix,,China,Pearson Education Limited,2001,103,,general,3,genaral
978-1-4058-8259-0,General 428B596B-1 1999,Bill gates,Business @ the Speed of Thought,,China,Pearson Education Limited,1999,109,,general,3,genaral
978-1-4058-8269-9,General 428K11T-1 2008,Kazou Ishiguro,The Remains of the Day,,China,Pearson Education Limited,2008,101,,general,,genaral
978-1-4058-6530-2,General 428E734T 2008,E.M. Forster,The Room with a View,,China,Pearson Education Limited,2008,100,,general,,genaral
978-1-4058-6529-6,General 428L576A 2008,Leo Tolstory,Anna Karennina,,China,Pearson Education Limited,2008,100,,general,3,genaral
